"filename", "language", "TypeScript", "TypeScript JSX", "HTML", "PostCSS", "Python", "JSON", "Markdown", "pip requirements", "JavaScript", "MS SQL", "PHP", "JSON with Comments", "comment", "blank", "total"
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/checkbox.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/collapsible.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/command.tsx", "TypeScript JSX", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 178
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/context-menu.tsx", "TypeScript JSX", 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 253
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/dialog.tsx", "TypeScript JSX", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 137
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/drawer.tsx", "TypeScript JSX", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 133
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 258
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/form.tsx", "TypeScript JSX", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 169
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/hover-card.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/input-otp.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 78
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/input.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/label.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/menubar.tsx", "TypeScript JSX", 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 277
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/navigation-menu.tsx", "TypeScript JSX", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 169
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/pagination.tsx", "TypeScript JSX", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 128
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/popover.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/progress.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/ui/radio-group.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
